縣市別,機構類型,機構代碼,機構名稱,地址,電話,定位地址,WGS84經度,WGS84緯度
臺北市,一般護理之家,7501181056,三軍總醫院附設護理之家,臺北市中正區汀州路3段40號4-9樓,236590555,臺北市中正區富水里9鄰汀州路三段40號,121.529891,25.0165
臺北市,一般護理之家,7101180024,臺北市立聯合醫院附設和平婦幼護理之家,臺北市中正區中華路二段33號B棟9樓,2388-9595*8901-8903,臺北市中正區愛國里3鄰中華路二段33號,121.506703,25.035591
臺北市,一般護理之家,7401090049,春寧護理之家,臺北市大同區長安西路35號3至8樓,02-225492000,臺北市大同區建泰里1鄰長安西路35號,121.519732,25.05036
臺北市,一般護理之家,7401090030,大稻埕護理之家,臺北市大同區環河北路1段73.75.77.79號1.2樓,25505197/29981880,臺北市大同區南芳里12鄰環河北路一段465號,121.508888,25.063074
臺北市,一般護理之家,7401090021,吉翔護理之家,臺北市大同區甘州街55號4、7、8樓,02-25520557,臺北市大同區延平里1鄰甘州街55號,121.512846,25.059778
臺北市,一般護理之家,7101010018,三軍總醫院松山分院附設民眾診療服務處附設護理之家,臺北市松山區健康路131號健康長青樓3、4樓,27642151轉671976,臺北市松山區龍田里14鄰健康路131號,121.557705,25.05394
臺北市,一般護理之家,7401011600,鵬程護理之家,臺北市松山區健康路399號及399號2樓,02-87872011,臺北市松山區鵬程里2鄰健康路399號,121.568859,25.054601
臺北市,一般護理之家,7501021028,臺北市立聯合醫院附設仁愛護理之家,臺北市大安區仁愛路四段10號南棟4樓,27093600,臺北市大安區仁慈里16鄰仁愛路四段10號,121.545302,25.03754
臺北市,一般護理之家,7501190037,國立臺灣大學醫學院附設醫院北護分院附設護理之家,臺北市萬華區內江街87號7、8、9樓,23717101轉8800、8700,臺北市萬華區西門里9鄰內江街87號,121.503546,25.041739
臺北市,一般護理之家,7401151261,頤園護理之家,臺北市士林區重慶北路4段138、140、142號1-4樓,02-28119666,臺北市士林區葫東里10鄰重慶北路四段276號,121.511709,25.087395
臺北市,一般護理之家,7401151387,陽明常春護理之家,臺北市士林區格致路7號2樓,02-28629997,臺北市士林區陽明里6鄰格致路7號,121.546117,25.136341
臺北市,一般護理之家,7601150017,百齡診所附設護理之家,臺北市士林區重慶北路四段一八七號,02 28113113,臺北市士林區葫東里6鄰重慶北路四段187號,121.511422,25.084185
臺北市,一般護理之家,7501151021,臺北市立聯合醫院附設陽明護理之家,臺北市士林區雨聲街105號7樓,28353456,臺北市士林區岩山里7鄰雨聲街105號,121.531566,25.105194
臺北市,一般護理之家,7301160026,振興醫療財團法人附設振興護理之家,臺北市北投區振興街45號,02-28264400轉1895,臺北市北投區榮華里2鄰振興街45號,121.5224,25.117543
臺北市,一般護理之家,7501161045,臺北市立關渡醫院-委託臺北榮民總醫院經營附設護理之家,臺北市北投區知行路225巷12號6、12樓,28587000,臺北市北投區關渡里25鄰知行路225巷12號,121.466358,25.120187
臺北市,一般護理之家,7301110017,康寧醫療財團法人附設康寧護理之家,臺北市內湖區成功路5段420巷26號6、7樓,2634-5500分機7000,臺北市內湖區金湖里12鄰成功路五段420巷26號,121.608779,25.075952
臺北市,一般護理之家,7101120019,臺北市立聯合醫院附設忠孝護理之家,臺北市南港區同德路87號6樓,27861288轉6731,臺北市南港區萬福里12鄰同德路87號,121.586157,25.046506
臺北市,一般護理之家,7401201131,景美醫院附設護理之家,臺北市文山區萬慶街18號3、4樓,02-29332962,臺北市文山區景慶里4鄰萬慶街18號,121.539901,24.992546
臺北市,一般護理之家,7401201088,重建樂活護理之家,臺北市文山區萬美街1段19巷3號1樓,02-22305663,臺北市文山區萬芳里28鄰萬美街一段19巷3號,121.568541,25.001646
臺北市,一般護理之家,7301200025,臺北市立萬芳醫院-委託財團法人臺北醫學大學辦理附設護理之家,臺北市文山區興隆路三段111號12樓,2930-7930轉52901,臺北市文山區興光里7鄰興隆路三段111號,121.55833,25.000305
